type=>4	message=>syntax error, unexpected '}'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/src/controllers/mainController.php	line=>6	date=>2013-01-23 19:42:22
type=>none	message=>No Route Found	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/app/components/tzRouter.class.php	line=>159	date=>2013-01-24 15:58:44
type=>none	message=>No Route Found	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/app/components/tzRouter.class.php	line=>159	date=>2013-01-24 16:00:39
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:43:50
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:44:18
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:44:54
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:45:05
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:45:07
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:45:07
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:45:07
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:45:55
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:45:57
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:45:57
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:46:08
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:46:08
type=>8	message=>Use of undefined constant WEB_PTH - assumed 'WEB_PTH'	file=>/Applications/MAMP/htdocs/2.Projet_En_Cours/tiitz/web/index.php	line=>4	date=>2013-01-24 22:46:09
